Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Salinas Police Dept,CA,12,     155742,       1001,          24,          36,,         451,         490,       5356,       1148,       2720,       1488,         642.7,          15.4,          23.1,,         289.6,         314.6,       3439.0,         737.1,       1746.5,         955.4
San Bernardino County Sheriff Department,CA,12,,         980,          18,          59,,         133,         770,       6029,       2219,       2560,       1250,,,,,,,,,,
San Bernardino Police Dept,CA,12,     214322,       1949,          45,          74,,         794,       1036,       9389,       2673,       4025,       2691,         909.4,          21.0,          34.5,,         370.5,         483.4,       4380.8,       1247.2,       1878.0,       1255.6
San Bruno Police Dept,CA,12,      42495,         102,           1,           8,,          35,          58,       1002,         131,         780,          91,         240.0,           2.4,          18.8,,          82.4,         136.5,       2357.9,         308.3,       1835.5,         214.1
San Clemente,CA,12,      65295,          56,           0,           3,,          21,          32,         844,         209,         582,          53,          85.8,            .0,           4.6,,          32.2,          49.0,       1292.6,         320.1,         891.3,          81.2
San Diego County Sheriff Department,CA,12,,       1505,           6,          78,,         206,       1215,       5607,       1682,       3092,         833,,,,,,,,,,
San Diego Police Dept,CA,12,   1349306,       5303,          39,         316,,       1456,       3492,      31728,       6355,      19230,       6143,         393.0,           2.9,          23.4,,         107.9,         258.8,       2351.4,         471.0,       1425.2,         455.3
San Dimas,CA,12,      33854,          65,           0,           4,,          18,          43,         706,         176,         463,          67,         192.0,            .0,          11.8,,          53.2,         127.0,       2085.4,         519.9,       1367.6,         197.9
San Fernando Police Dept,CA,12,      23955,          85,           0,           2,,          28,          55,         399,          69,         258,          72,         354.8,            .0,           8.3,,         116.9,         229.6,       1665.6,         288.0,       1077.0,         300.6
San Francisco Police Dept,CA,12,     833863,       7064,          48,         161,,       4202,       2653,      48324,       5931,      36527,       5866,         847.1,           5.8,          19.3,,         503.9,         318.2,       5795.2,         711.3,       4380.5,         703.5
San Gabriel Police Dept,CA,12,      40287,         103,           1,           5,,          31,          66,         724,         175,         493,          56,         255.7,           2.5,          12.4,,          76.9,         163.8,       1797.1,         434.4,       1223.7,         139.0
San Jacinto Police Dept,CA,12,      45714,         124,           5,           6,,          64,          49,       1805,         469,       1092,         244,         271.3,          10.9,          13.1,,         140.0,         107.2,       3948.5,       1025.9,       2388.8,         533.8
San Joaquin County Sheriff Department,CA,12,,         640,          14,          20,,         144,         462,       4331,       1520,       2651,         160,,,,,,,,,,
San Jose Police Dept,CA,12,     992143,       3215,          38,         270,,       1095,       1812,      25510,       5173,      12411,       7926,         324.0,           3.8,          27.2,,         110.4,         182.6,       2571.2,         521.4,       1250.9,         798.9
San Juan Capistrano,CA,12,      35585,          57,           0,           0,,          13,          44,         439,         115,         302,          22,         160.2,            .0,            .0,,          36.5,         123.6,       1233.7,         323.2,         848.7,          61.8
San Leandro Police Dept,CA,12,      87490,         394,           3,          26,,         251,         114,       3960,         761,       2287,         912,         450.3,           3.4,          29.7,,         286.9,         130.3,       4526.2,         869.8,       2614.0,       1042.4
San Luis Obispo County Sheriff Department,CA,12,,         298,           2,          26,,           9,         261,       1327,         540,         781,           6,,,,,,,,,,
San Luis Obispo Police Dept,CA,12,      46095,         161,           0,          34,,          26,         101,       1775,         328,       1384,          63,         349.3,            .0,          73.8,,          56.4,         219.1,       3850.7,         711.6,       3002.5,         136.7
San Marino Police Dept,CA,12,      13308,          20,           0,           2,,           3,          15,         224,          83,         140,           1,         150.3,            .0,          15.0,,          22.5,         112.7,       1683.2,         623.7,       1052.0,           7.5
San Mateo County Sheriff Department,CA,12,,         310,           0,          13,,          51,         246,       2792,         545,       1959,         288,,,,,,,,,,
San Mateo Police Dept,CA,12,     100440,         239,           0,          29,,          85,         125,       2065,         309,       1601,         155,         238.0,            .0,          28.9,,          84.6,         124.5,       2056.0,         307.6,       1594.0,         154.3
San Pablo Police Dept,CA,12,      29893,         200,           0,           2,,         102,          96,       1170,         305,         512,         353,         669.1,            .0,           6.7,,         341.2,         321.1,       3914.0,       1020.3,       1712.8,       1180.9
San Rafael Police Dept,CA,12,      58725,         206,           0,          26,,          77,         103,       1812,         366,       1114,         332,         350.8,            .0,          44.3,,         131.1,         175.4,       3085.6,         623.2,       1897.0,         565.3
San Ramon,CA,12,      74434,          27,           0,           0,,          14,          13,         760,         171,         485,         104,          36.3,            .0,            .0,,          18.8,          17.5,       1021.0,         229.7,         651.6,         139.7
Sanger Police Dept,CA,12,      24649,         146,           2,          15,,          25,         104,         726,         179,         433,         114,         592.3,           8.1,          60.9,,         101.4,         421.9,       2945.4,         726.2,       1756.7,         462.5
Santa Ana Police Dept,CA,12,     332848,       1121,          13,          51,,         463,         594,       6425,         803,       4163,       1459,         336.8,           3.9,          15.3,,         139.1,         178.5,       1930.3,         241.3,       1250.7,         438.3
Santa Barbara County Sheriff Department,CA,12,,         268,           1,          42,,          29,         196,       1773,         569,       1191,          13,,,,,,,,,,
Santa Barbara Police Dept,CA,12,      90006,         362,           2,          32,,          82,         246,       2670,         459,       2091,         120,         402.2,           2.2,          35.6,,          91.1,         273.3,       2966.5,         510.0,       2323.2,         133.3
Santa Clara County Sheriff Department,CA,12,,         189,           3,          13,,          23,         150,       1490,         363,         951,         176,,,,,,,,,,
Santa Clara Police Dept,CA,12,     120150,         172,           0,          13,,          55,         104,       3023,         461,       2169,         393,         143.2,            .0,          10.8,,          45.8,          86.6,       2516.0,         383.7,       1805.2,         327.1
Santa Clarita,CA,12,     204951,         276,           2,          19,,          97,         158,       2713,         704,       1760,         249,         134.7,           1.0,           9.3,,          47.3,          77.1,       1323.7,         343.5,         858.7,         121.5
Santa Cruz County Sheriff Department,CA,12,,         296,           3,          20,,          35,         238,       1874,         740,       1118,          16,,,,,,,,,,
Santa Cruz Police Dept,CA,12,      62517,         407,           4,          33,,          85,         285,       3163,         552,       2383,         228,         651.0,           6.4,          52.8,,         136.0,         455.9,       5059.4,         883.0,       3811.8,         364.7
Santa Fe Springs,CA,12,      16936,          75,           0,           3,,          28,          44,       1206,         135,         830,         241,         442.8,            .0,          17.7,,         165.3,         259.8,       7120.9,         797.1,       4900.8,       1423.0
Santa Maria Police Dept,CA,12,     102051,         490,           3,          34,,         122,         331,       2934,         647,       1557,         730,         480.2,           2.9,          33.3,,         119.5,         324.3,       2875.0,         634.0,       1525.7,         715.3
Santa Monica Police Dept,CA,12,      92488,         324,           7,          27,,         120,         170,       3544,         573,       2806,         165,         350.3,           7.6,          29.2,,         129.7,         183.8,       3831.8,         619.5,       3033.9,         178.4
Santa Paula Police Dept,CA,12,      30159,         108,           6,           6,,          33,          63,         536,         103,         358,          75,         358.1,          19.9,          19.9,,         109.4,         208.9,       1777.2,         341.5,       1187.0,         248.7
Santa Rosa Police Dept,CA,12,     171564,         541,           3,          42,,         105,         391,       3506,         638,       2559,         309,         315.3,           1.7,          24.5,,          61.2,         227.9,       2043.6,         371.9,       1491.6,         180.1
Santee,CA,12,      55924,         156,           0,           5,,          31,         120,       1165,         170,         888,         107,         279.0,            .0,           8.9,,          55.4,         214.6,       2083.2,         304.0,       1587.9,         191.3
Saratoga,CA,12,      30897,          14,           0,           3,,           4,           7,         222,          89,         123,          10,          45.3,            .0,           9.7,,          12.9,          22.7,         718.5,         288.1,         398.1,          32.4
Scotts Valley Police Dept,CA,12,      11694,          11,           0,           1,,           2,           8,         287,          56,         220,          11,          94.1,            .0,           8.6,,          17.1,          68.4,       2454.3,         478.9,       1881.3,          94.1
Seal Beach Police Beach,CA,12,      24798,          16,           0,           1,,           8,           7,         462,          93,         336,          33,          64.5,            .0,           4.0,,          32.3,          28.2,       1863.1,         375.0,       1354.9,         133.1
Seaside Police Dept,CA,12,      34147,         120,           4,           7,,          21,          88,         591,         150,         390,          51,         351.4,          11.7,          20.5,,          61.5,         257.7,       1730.8,         439.3,       1142.1,         149.4
Selma Police Dept,CA,12,      23935,         191,           0,          10,,          35,         146,       1056,         218,         589,         249,         798.0,            .0,          41.8,,         146.2,         610.0,       4411.9,         910.8,       2460.8,       1040.3
Shafter Police Dept,CA,12,      17139,          58,           1,           7,,          13,          37,         545,         209,         251,          85,         338.4,           5.8,          40.8,,          75.9,         215.9,       3179.9,       1219.4,       1464.5,         495.9
Shasta County Sheriff Department,CA,12,,         501,           8,          27,,          29,         437,         961,         504,         408,          49,,,,,,,,,,
Sierra Madre Police Dept,CA,12,      11048,          13,           0,           1,,           1,          11,         129,          58,          65,           6,         117.7,            .0,           9.1,,           9.1,          99.6,       1167.6,         525.0,         588.3,          54.3
Signal Hill Police Dept,CA,12,      11240,          32,           0,           2,,          14,          16,         554,          95,         379,          80,         284.7,            .0,          17.8,,         124.6,         142.3,       4928.8,         845.2,       3371.9,         711.7
Simi Valley Police Dept,CA,12,     126215,         132,           3,           9,,          31,          89,       1709,         344,       1233,         132,         104.6,           2.4,           7.1,,          24.6,          70.5,       1354.0,         272.6,         976.9,         104.6
Solana Beach,CA,12,      13239,          27,           0,           1,,           5,          21,         294,          93,         180,          21,         203.9,            .0,           7.6,,          37.8,         158.6,       2220.7,         702.5,       1359.6,         158.6
Soledad Police Dept,CA,12,      26637,          73,           0,           6,,          15,          52,         252,         105,         100,          47,         274.1,            .0,          22.5,,          56.3,         195.2,         946.1,         394.2,         375.4,         176.4
Sonoma County Sheriff Department,CA,12,,         592,           5,          33,,          51,         503,       1357,         552,         795,          10,,,,,,,,,,
Sonoma Police Dept,CA,12,      10912,          38,           0,           3,,          11,          24,         212,          63,         139,          10,         348.2,            .0,          27.5,,         100.8,         219.9,       1942.8,         577.3,       1273.8,          91.6
South El Monte,CA,12,      20354,          88,           1,           4,,          35,          48,         444,         117,         208,         119,         432.3,           4.9,          19.7,,         172.0,         235.8,       2181.4,         574.8,       1021.9,         584.7
South Gate Police Dept,CA,12,      95591,         496,           2,          15,,         223,         256,       2698,         406,       1379,         913,         518.9,           2.1,          15.7,,         233.3,         267.8,       2822.4,         424.7,       1442.6,         955.1
South Lake Tahoe Police Dept,CA,12,      21243,         116,           3,           8,,          16,          89,         585,         171,         368,          46,         546.1,          14.1,          37.7,,          75.3,         419.0,       2753.8,         805.0,       1732.3,         216.5
South Pasadena Police Dept,CA,12,      25937,          29,           0,           3,,          16,          10,         568,         170,         347,          51,         111.8,            .0,          11.6,,          61.7,          38.6,       2189.9,         655.4,       1337.9,         196.6
South San Francisco Police Dept,CA,12,      66157,         118,           0,           5,,          39,          74,       1188,         268,         739,         181,         178.4,            .0,           7.6,,          59.0,         111.9,       1795.7,         405.1,       1117.0,         273.6
Stanislaus County Sheriff Department,CA,12,,         365,          13,          20,,         106,         226,       2451,       1076,       1312,          63,,,,,,,,,,
Stanton,CA,12,      39128,         112,           1,           8,,          45,          58,         702,         137,         409,         156,         286.2,           2.6,          20.4,,         115.0,         148.2,       1794.1,         350.1,       1045.3,         398.7
Stockton Police Dept,CA,12,     299796,       3622,          32,          91,,       1088,       2411,      15080,       4189,       8748,       2143,       1208.2,          10.7,          30.4,,         362.9,         804.2,       5030.1,       1397.3,       2918.0,         714.8
Suisun City Police Dept,CA,12,      28805,          64,           1,           3,,          35,          25,         630,         132,         379,         119,         222.2,           3.5,          10.4,,         121.5,          86.8,       2187.1,         458.3,       1315.7,         413.1
Sunnyvale Dept Of Public Safety,CA,12,     148160,         144,           4,          16,,          51,          73,       2434,         574,       1456,         404,          97.2,           2.7,          10.8,,          34.4,          49.3,       1642.8,         387.4,         982.7,         272.7
Susanville Police Dept,CA,12,      16270,          83,           2,           3,,          11,          67,         384,         148,         215,          21,         510.1,          12.3,          18.4,,          67.6,         411.8,       2360.2,         909.6,       1321.5,         129.1
Sutter County Sheriff Department,CA,12,,          70,           2,           7,,           5,          56,         904,         341,         504,          59,,,,,,,,,,
Tehama County Sheriff Department,CA,12,,         158,           1,           7,,           3,         147,         274,          99,         175,           0,,,,,,,,,,
Temecula,CA,12,     106680,          91,           3,          11,,          39,          38,       2848,         711,       1897,         240,          85.3,           2.8,          10.3,,          36.6,          35.6,       2669.7,         666.5,       1778.2,         225.0
Temple City,CA,12,      36269,          48,           1,           5,,          11,          31,         476,         179,         264,          33,         132.3,           2.8,          13.8,,          30.3,          85.5,       1312.4,         493.5,         727.9,          91.0
Thousand Oaks,CA,12,     128884,         139,           0,           7,,          42,          90,       1604,         291,       1222,          91,         107.8,            .0,           5.4,,          32.6,          69.8,       1244.5,         225.8,         948.1,          70.6
Torrance Police Dept,CA,12,     147534,         187,           1,          16,,          76,          94,       2786,         591,       1833,         362,         126.8,            .7,          10.8,,          51.5,          63.7,       1888.4,         400.6,       1242.4,         245.4
Tracy Police Dept,CA,12,      85174,         152,           0,           7,,          57,          88,       2236,         353,       1648,         235,         178.5,            .0,           8.2,,          66.9,         103.3,       2625.2,         414.4,       1934.9,         275.9
Truckee,CA,12,      16146,          18,           0,           0,,           2,          16,         173,          67,          99,           7,         111.5,            .0,            .0,,          12.4,          99.1,       1071.5,         415.0,         613.2,          43.4
Tulare County Sheriff Department,CA,12,,         641,          18,          20,,         108,         495,,       1180,       1613,,,,,,,,,,,
Tulare Police Dept,CA,12,      61424,         430,           6,          15,,          77,         332,       2613,         909,       1333,         371,         700.1,           9.8,          24.4,,         125.4,         540.5,       4254.0,       1479.9,       2170.2,         604.0
Tuolumne County Sheriff Department,CA,12,,          90,           0,           6,,           8,          76,         771,         385,         382,           4,,,,,,,,,,
Turlock Police Dept,CA,12,      70075,         310,           2,          12,,          80,         216,       2630,         627,       1578,         425,         442.4,           2.9,          17.1,,         114.2,         308.2,       3753.1,         894.8,       2251.9,         606.5
Tustin Police Dept,CA,12,      78836,         100,           1,           6,,          36,          57,       1473,         213,       1147,         113,         126.8,           1.3,           7.6,,          45.7,          72.3,       1868.4,         270.2,       1454.9,         143.3
Twenty-Nine Palms,CA,12,      25914,          74,           2,           9,,           5,          58,         353,         153,         159,          41,         285.6,           7.7,          34.7,,          19.3,         223.8,       1362.2,         590.4,         613.6,         158.2
Ukiah Dept Of Public Safety,CA,12,      15874,         116,           0,           8,,          15,          93,         564,         190,         347,          27,         730.8,            .0,          50.4,,          94.5,         585.9,       3553.0,       1196.9,       2186.0,         170.1
Union City Police Dept,CA,12,      72480,         218,           2,           3,,          92,         121,       1634,         416,         886,         332,         300.8,           2.8,           4.1,,         126.9,         166.9,       2254.4,         574.0,       1222.4,         458.1
Upland Police Dept,CA,12,      75640,         163,           0,           9,,          67,          87,       2234,         589,       1246,         399,         215.5,            .0,          11.9,,          88.6,         115.0,       2953.5,         778.7,       1647.3,         527.5
Vacaville Police Dept,CA,12,      94347,         201,           1,          14,,          66,         120,       2096,         267,       1598,         231,         213.0,           1.1,          14.8,,          70.0,         127.2,       2221.6,         283.0,       1693.7,         244.8
Vallejo Police Dept,CA,12,     118336,       1019,          25,          30,,         424,         540,       5734,       2972,       1553,       1209,         861.1,          21.1,          25.4,,         358.3,         456.3,       4845.5,       2511.5,       1312.4,       1021.7
Ventura County Sheriff Department,CA,12,,         123,           3,          13,,          23,          84,       1027,         307,         648,          72,,,,,,,,,,
Ventura Police Dept,CA,12,     108204,         262,           6,          21,,          99,         136,       4027,         745,       3025,         257,         242.1,           5.5,          19.4,,          91.5,         125.7,       3721.7,         688.5,       2795.6,         237.5
Victorville,CA,12,     121699,         651,           9,          36,,         202,         404,       4165,       1461,       2067,         637,         534.9,           7.4,          29.6,,         166.0,         332.0,       3422.4,       1200.5,       1698.5,         523.4
Visalia Police Dept,CA,12,     127824,         500,           8,          31,,         156,         305,       4853,       1218,       3016,         619,         391.2,           6.3,          24.3,,         122.0,         238.6,       3796.6,         952.9,       2359.5,         484.3
Walnut,CA,12,      30279,          37,           0,           1,,          10,          26,         463,         220,         207,          36,         122.2,            .0,           3.3,,          33.0,          85.9,       1529.1,         726.6,         683.6,         118.9
Walnut Creek Police Dept,CA,12,      66149,          78,           0,           4,,          31,          43,       2161,         364,       1634,         163,         117.9,            .0,           6.0,,          46.9,          65.0,       3266.9,         550.3,       2470.2,         246.4
Watsonville Police Dept,CA,12,      52076,         237,           3,          20,,          71,         143,       1308,         218,         824,         266,         455.1,           5.8,          38.4,,         136.3,         274.6,       2511.7,         418.6,       1582.3,         510.8
West Covina Police Dept,CA,12,     107867,         231,           1,           2,,         106,         122,       3370,         615,       2254,         501,         214.2,            .9,           1.9,,          98.3,         113.1,       3124.2,         570.1,       2089.6,         464.5
West Hollywood,CA,12,      34902,         216,           0,          14,,          68,         134,       1435,         292,       1044,          99,         618.9,            .0,          40.1,,         194.8,         383.9,       4111.5,         836.6,       2991.2,         283.7
West Sacramento Police Dept,CA,12,      49751,         205,           1,          16,,          98,          90,       1483,         380,         894,         209,         412.1,           2.0,          32.2,,         197.0,         180.9,       2980.8,         763.8,       1796.9,         420.1
Westminster Police Dept,CA,12,      91885,         283,           0,          13,,          84,         186,       2476,         420,       1720,         336,         308.0,            .0,          14.1,,          91.4,         202.4,       2694.7,         457.1,       1871.9,         365.7
Whittier Police Dept,CA,12,      86450,         223,           3,          17,,          73,         130,       2383,         455,       1675,         253,         258.0,           3.5,          19.7,,          84.4,         150.4,       2756.5,         526.3,       1937.5,         292.7
Windsor,CA,12,      27249,         105,           0,           9,,           8,          88,         269,          52,         209,           8,         385.3,            .0,          33.0,,          29.4,         322.9,         987.2,         190.8,         767.0,          29.4
Woodland Police Dept,CA,12,      56523,         272,           1,          16,,          48,         207,       1942,         510,       1238,         194,         481.2,           1.8,          28.3,,          84.9,         366.2,       3435.8,         902.3,       2190.3,         343.2
Yolo County Sheriff Department,CA,12,,          43,           0,           4,,           3,          36,         409,         134,         261,          14,,,,,,,,,,
Yorba Linda,CA,12,      67492,          30,           0,           5,,           6,          19,         700,         172,         482,          46,          44.4,            .0,           7.4,,           8.9,          28.2,       1037.2,         254.8,         714.2,          68.2
Yuba County Sheriff Department,CA,12,,         185,           3,          22,,          24,         136,       1303,         457,         839,           7,,,,,,,,,,
Yuba City Police Dept,CA,12,      65133,         174,           2,          15,,          39,         118,       1980,         438,       1210,         332,         267.1,           3.1,          23.0,,          59.9,         181.2,       3039.9,         672.5,       1857.7,         509.7
Yucaipa,CA,12,      52524,         107,           0,           7,,          31,          69,         926,         262,         534,         130,         203.7,            .0,          13.3,,          59.0,         131.4,       1763.0,         498.8,       1016.7,         247.5
Yucca Valley,CA,12,      21214,          86,           3,           7,,          15,          61,         429,         141,         234,          54,         405.4,          14.1,          33.0,,          70.7,         287.5,       2022.2,         664.7,       1103.0,         254.5
